Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
Joanah April Hermano,F,SBD,Raw,,,O,51.0,52,,,,,95.0,,,,,50.0,,,,,97.5,242.5,4,306.86,306.86,272.22,456.02,Yes,,PAP,2018-04-22,Philippines,,National Raw Powerlifting Championships
Tiarnie Mueller,F,SBD,Raw,36.5,35-39,Open,97.75,84+,90.0,97.5,-105.0,,97.5,60.0,65.0,-70.0,,65.0,105.0,120.0,125.0,,125.0,287.5,6,241.04,241.04,207.65,418.84,Yes,,PA,2017-12-09,Australia,QLD,Deep North Challenge
Vicky Taylor-Hood,F,SBD,Raw,40.5,40-44,Masters 1,75.5,84,,,,,140.0,,,,,80.0,,,,,185.0,405.0,1,383.42,383.42,337.19,647.13,Yes,Canada,CPU,2016-02-15,Canada,SK,Canadian Championship
Sheri Miles,F,SBD,Raw,30.5,24-34,F-C-Open,71.45,72,105.0,115.0,125.0,,125.0,60.0,65.0,70.0,,70.0,155.0,165.0,170.0,,170.0,365.0,2,358.09,358.09,315.49,597.09,Yes,UK,EPA,2017-05-03,England,,South East Spring Qualifier
Chelsea Nkwodimmah,F,SBD,Raw,27.0,24-34,FR-O,71.5,72,-155.0,-160.0,160.0,,160.0,72.5,77.5,82.5,,82.5,175.0,182.5,192.5,,192.5,435.0,1,426.56,426.56,375.81,712.46,Yes,,USAPL,2017-06-03,USA,NJ,New Jersey State Championships
Louise Millar,F,SBD,Raw,30.5,24-34,F-O,70.8,72,,,,,162.5,,,,,85.0,,,,,172.5,420.0,1,414.6,414.6,365.36,690.8,Yes,Ireland,IrishPF,2017-02-25,Ireland,,Ulster Open
Jennifer Dewar,F,SBD,Raw,35.5,35-39,Open,71.5,72,,,,,140.0,,,,,80.0,152.5,162.5,170.0,,170.0,390.0,1,382.43,382.43,336.93,638.17,Yes,,NZPF,2019-04-13,New Zealand,CAN,Canterbury Powerlifting Championships
Journey Niemann,F,SBD,Raw,17.0,16-17,Junior/Senior,121.56,90+,,,,,157.5,,,,,117.5,,,,,210.0,485.0,1,386.94,417.9,327.64,642.32,Yes,,RAW,2018-04-14,USA,VA,High School Nationals
Wendy McGirr,F,SBD,Raw,,,FR-O,56.28,57,77.5,82.5,-87.5,,82.5,42.5,-45.0,45.0,,45.0,85.0,-90.0,90.0,,90.0,217.5,5,254.91,254.91,225.46,387.53,Yes,,EPA,2019-04-06,UK,,SWPLA Open Championships
Cristina Quevedo,F,SBD,Raw,42.0,40-44,Masters 40-44,65.9,67.5,,,,,92.5,,,,,45.0,,,,,125.0,262.5,1,272.61,278.07,240.58,441.85,,,USPA,2018-06-02,USA,CA,Savage Fit Open
Bonica Brown,F,SBD,Raw,24.0,24-34,FR-O,108.4,84+,162.5,172.5,187.5,,187.5,95.0,105.0,-120.5,,105.0,172.5,197.5,213.0,,213.0,505.5,1,412.31,412.31,351.15,696.31,Yes,USA,USAPL,2013-07-19,USA,FL,Raw Nationals
Janelle Klaassen,F,SBD,Raw,,5-12,11-12,44.0,44,,,,,40.0,,,,,27.5,,,,,62.5,130.0,1,183.05,243.46,164.19,236.32,Yes,,WNPF,2006-10-27,USA,NJ,World Championships
Mia Smith,F,SBD,Raw,31.5,24-34,FR-O,62.1,63,105.0,112.5,-115.0,,112.5,60.0,62.5,-65.0,,62.5,125.0,132.5,137.5,,137.5,312.5,2,339.3,339.3,299.66,542.8,Yes,,USAPL,2019-03-16,USA,CA,California State Games
Katie McGeachy,F,SBD,Raw,22.5,20-23,Open,70.3,72,,,,,112.5,,,,,65.0,,,,,137.5,315.0,1,312.46,312.46,275.4,518.04,Yes,,CPU,2013-06-09,Canada,BC,BC Provincials
Isabelle Zare,F,SBD,Raw,20.5,20-23,FR-Jr,65.7,67.5,,,,,100.0,,,,,70.0,,,,,125.0,295.0,1,307.05,313.19,270.98,498.77,Yes,,USAPL,2014-07-12,USA,TX,Summer Power Fest
Mercedes Vandaver,F,SBD,Raw,21.5,20-23,FR-Jr,74.7,84,125.0,132.5,-137.5,,132.5,75.0,80.0,85.0,,85.0,-145.0,150.0,155.0,,155.0,372.5,1,355.01,358.56,312.33,597.8,Yes,,USAPL,2016-06-11,USA,WI,Badger Open
Viviana Avila,F,SBD,Raw,17.0,16-17,Juniors 16-17,64.77,67.5,,,,,85.0,,,,,37.5,,,,,97.5,220.0,1,231.41,249.92,204.27,370.69,,,USPA,2014-12-13,USA,CA,NorCal Championships
Simone Corbett,F,SBD,Raw,,,F-C-Open,74.8,84,75.0,-80.0,-80.0,,75.0,37.5,40.0,-42.5,,40.0,90.0,100.0,110.0,,110.0,225.0,2,214.25,214.25,188.49,360.08,Yes,,EPA,2018-11-10,England,,Yorkshire North East Overspill
Kelly Yates,F,SBD,Raw,21.5,20-23,FR-Jr,77.3,84,95.0,102.5,-110.0,,102.5,52.5,57.5,60.0,,60.0,137.5,147.5,155.0,,155.0,317.5,1,296.31,299.28,260.32,502.28,Yes,,USAPL,2015-07-12,USA,OH,Ohio State Championships
Dominique Fisher #1,F,SBD,Raw,43.0,40-44,F_M1_R_WPC,65.9,67.5,130.0,142.5,-152.5,,142.5,65.0,70.0,-72.5,,70.0,150.0,-160.0,-160.0,,150.0,362.5,1,376.47,388.14,332.23,614.97,,England,WPC,2016-06-06,England,,European Championships
Stephanie Renfro,F,SBD,Raw,23.0,20-23,FR-Jr,61.6,63,110.0,-115.0,-115.0,,110.0,65.0,-67.5,70.0,,70.0,160.0,167.5,172.5,,172.5,352.5,2,385.11,385.11,340.15,617.0,Yes,,USAPL,2013-07-19,USA,FL,Raw Nationals
Nicola Fitzharris,F,SBD,Raw,30.0,24-34,FO-R,86.8,90,85.0,87.5,90.0,,90.0,50.0,55.0,-57.5,,55.0,100.0,105.0,110.0,,110.0,255.0,1,223.85,223.85,195.2,387.68,,,CAPO,2013-08-10,Australia,TAS,Nationals
Daniela Lopez,F,SBD,Raw,24.0,24-34,Open,51.6,52,,,,,90.0,,,,,30.0,,,,,87.5,207.5,2,260.22,260.22,230.73,382.45,,,USPA,2017-12-09,USA,CA,Inland Empire Open
Catherine Smith,F,SBD,Raw,21.5,20-23,F-C-U23,56.3,57,115.0,122.5,127.5,,127.5,57.5,62.5,65.0,,65.0,152.5,162.5,167.5,,167.5,360.0,1,421.81,426.03,373.07,659.79,Yes,UK,BP,2017-02-25,UK,,British Equipped Championships
Olga Kholyavko,F,SBD,Raw,26.5,24-34,Open,67.1,72,,,,,157.5,,,,,87.5,,,,,150.0,395.0,1,404.87,404.87,357.19,665.54,Yes,Kazakhstan,KPF,2016-10-03,Kazakhstan,,Kazakhstan Powerlifting Championships
Carolyn Luquette,F,SBD,Raw,16.5,16-17,FR-T,104.2,84+,50.0,62.5,72.5,,72.5,52.5,57.5,60.0,,60.0,77.5,87.5,97.5,,97.5,230.0,2,189.36,204.51,161.8,332.26,Yes,,USAPL,2015-07-18,USA,LA,Louisiana Summer Classic
Jeannie Boisvert,F,SBD,Raw,,,Sub-Juniors,81.2,84,,,,,92.5,,,,,55.0,,,,,120.0,267.5,1,242.78,242.78,212.72,415.79,Yes,,CPU,2015-04-25,Canada,QC,Central Quebec Qualifier
Elizabeth Shapiro,F,SBD,Raw,32.0,24-34,Open,58.5,60,,,,,132.5,,,,,72.5,,,,,127.5,332.5,1,378.07,378.07,334.16,595.65,,,USPA,2017-08-12,USA,GA,Georgia State Powerlifting Championships
Mallory Foster,F,SBD,Raw,,,Open,79.7,84,,,,,120.0,,,,,52.5,,,,,137.0,310.0,1,284.25,284.25,249.33,484.64,Yes,,CPU,2018-08-25,Canada,SK,Saskatchewan North Open
Sam Grubbs,F,SBD,Raw,20.5,20-23,FR-O,70.4,72,107.5,115.0,120.0,,120.0,57.5,62.5,65.0,,65.0,120.0,130.0,140.0,,140.0,325.0,3,322.06,328.5,283.85,534.38,Yes,,USAPL,2018-12-08,USA,MA,Central Mass Open
Eno Majomi,F,SBD,Raw,42.5,40-44,F-C-Open,70.8,72,150.0,160.0,167.5,,167.5,75.0,82.5,90.0,,90.0,160.0,170.0,-180.0,,170.0,427.5,3,422.0,430.44,371.89,703.25,Yes,UK,BP,2017-07-29,UK,,British Women's Classic Championships
Bailey Adams,F,SBD,Raw,,,Open,79.74,82.5,,,,,112.5,,,,,75.0,,,,,127.5,315.0,1,288.75,288.75,253.28,492.32,,,SPF,2018-07-21,USA,MS,Mid-South Powerlifting Classic
Kimberley Quig,F,SBD,Raw,41.5,40-44,Masters 1,79.7,84,,,,,97.5,,,,,72.5,,,,,130.0,300.0,2,275.08,277.83,241.29,469.09,Yes,Canada,CPU,2017-01-05,Canada,ON,Central Canadian Championship
Sarah Johnson,F,SBD,Raw,44.5,40-44,FR-M1,74.8,84,-102.5,-102.5,-102.5,,,65.0,-67.5,67.5,,67.5,105.0,115.0,-122.5,,115.0,,DQ,,,,,Yes,,USAPL,2019-02-09,USA,AZ,Lake Pleasant Classic
Anne Vuorikoski,F,SBD,Raw,27.5,24-34,Open,60.94,63,95.0,100.0,105.0,,105.0,55.0,60.0,-65.0,,60.0,127.5,135.0,-142.5,,135.0,300.0,1,330.47,330.47,291.93,524.89,Yes,,SVNL,2018-05-12,Finland,,Kansallinen klassinen voimanosto
Carri Nelsen,F,SBD,Raw,43.5,40-44,FR-M,73.9,84,42.5,47.5,62.5,,62.5,27.5,35.0,-50.0,,35.0,70.0,72.5,82.5,,82.5,180.0,2,172.72,178.08,152.02,288.68,Yes,,USAPL,2018-04-28,USA,NE,Nebraska State Championship
Deb Proud,F,SBD,Raw,43.5,40-44,Open,69.6,72,120.0,-127.5,127.5,,127.5,62.5,67.5,70.0,,70.0,135.0,145.0,-152.5,,145.0,342.5,1,342.09,352.69,301.58,566.35,Yes,,PA,2018-05-26,Australia,TAS,Move Strong Open
Aneta Wilga,F,SBD,Raw,,24-34,Pro Open,89.18,90,,,,,161.03,,,,,88.45,,,,,190.51,439.98,1,381.64,381.64,332.01,655.46,,,RPS,2018-04-21,USA,PA,5th Set Black
Ana Villacorta,F,SBD,Raw,33.5,24-34,FR-O,55.0,57,102.5,-112.5,115.0,,115.0,65.0,70.0,75.0,,75.0,135.0,145.0,-152.5,,145.0,335.0,1,399.77,399.77,353.75,619.44,Yes,,USAPL,2018-07-21,USA,AZ,Arizona 4th Annual Route 66 Classic
Asiya Orazbekova,F,SBD,Raw,27.5,24-34,Open,45.6,47,,,,,85.0,,,,,62.5,,,,,107.5,255.0,1,350.4,350.4,313.15,511.08,Yes,Kazakhstan,KPF,2015-10-05,Kazakhstan,,Kazakhstan Powerlifting Championships
Alexa Dinger-Hansen,F,SBD,Raw,29.0,24-34,Open,78.9,82.5,,,,,110.0,,,,,67.5,,,,,140.0,317.5,1,292.79,292.79,256.97,498.25,,,USPA,2018-06-02,USA,UT,Utah State Championships
Laura Williams #2,F,SBD,Raw,48.0,45-49,Masters 45-49,62.1,67.5,,,,,125.0,,,,,85.0,,,,,142.5,352.5,1,382.73,419.86,338.02,614.59,Yes,USA,IPL,2018-11-08,USA,NV,Drug Tested World Championships
Natasha Khanna,F,SBD,Raw,25.5,24-34,Open,69.45,72,80.0,90.0,-95.0,,90.0,40.0,-45.0,-45.0,,40.0,100.0,110.0,120.0,,120.0,250.0,1,250.07,250.07,220.48,411.62,Yes,,PA,2017-12-02,Australia,WA,True Raw II
Jessica Kleinhammer,F,SBD,Raw,,,Amateur Open,66.04,67.5,,,,,97.52,,,,,63.5,,,,,127.01,288.03,1,298.66,298.66,263.56,485.61,Yes,,RPS,2015-08-08,USA,NY,NY State Championships
Monica Benavides,F,SBD,Raw,24.0,24-34,Open,64.85,67.5,,,,,115.0,,,,,55.0,,,,,122.5,292.5,4,307.39,307.39,271.33,497.24,,,USPA,2017-12-09,USA,CA,Central Valley Open
Veronica Viar,F,SBD,Raw,23.5,24-34,FR-C,71.4,72,130.0,140.0,147.5,,147.5,60.0,62.5,-67.5,,62.5,145.0,155.0,-162.5,,155.0,365.0,5,358.25,358.25,315.64,597.27,Yes,,USAPL,2017-04-07,USA,TX,Collegiate National Championship
Pamela Waddick,F,SBD,Raw,,,FR-O,61.5,63,92.5,-102.5,-102.5,,92.5,60.0,65.0,70.0,,70.0,110.0,120.0,130.0,,130.0,292.5,1,319.95,319.95,282.61,509.14,Yes,,USAPL,2015-06-13,USA,FL,36th Florida Sunshine Games
Liliya Novozhilova,F,SBD,Raw,31.5,24-34,Open,110.1,84+,,,,,165.0,,,,,95.0,,,,,155.0,415.0,1,337.36,337.36,287.15,572.44,Yes,,FPR,2012-11-28,Russia,,Central Federal District and Moscow Powerlifing Championships
Tonya Hodges,F,SBD,Raw,44.0,40-44,Masters,70.5,75,,,,,105.0,,,,,67.5,,,,,142.5,315.0,1,311.85,325.26,274.84,517.42,,,USPA,2017-03-18,USA,MO,3rd Powerbody USA Open
Elizabeth Kelly,F,SBD,Raw,37.5,35-39,FR-O,62.1,63,137.5,142.5,150.0,,150.0,-67.5,67.5,72.5,,72.5,140.0,150.0,155.0,,155.0,377.5,1,409.88,409.88,361.99,659.47,Yes,,USAPL,2018-05-12,USA,CA,Barbells on the Boardwalk
Lee-Ann Tee,F,SBD,Raw,28.5,24-34,Open,62.5,63,115.0,-125.0,125.0,,125.0,65.0,70.0,72.5,,72.5,150.0,-160.0,-160.0,,150.0,347.5,1,375.46,375.46,331.57,603.76,Yes,,PA,2018-07-15,Australia,VIC,Melbourne Strength Culture Open
Tania Rivers,F,SBD,Raw,,,Open,72.2,84,-80.0,80.0,-90.0,,80.0,50.0,-57.5,-57.5,,50.0,110.0,-120.0,-120.0,,110.0,240.0,1,233.82,233.82,205.94,389.17,Yes,,NZPF,2012-11-24,New Zealand,WGN,Bledisbro Open
Leontine van Geffen,F,SBD,Raw,,,Open,121.11,84+,170.0,180.0,,,180.0,82.5,87.5,90.0,,90.0,170.0,180.0,185.0,,185.0,455.0,2,363.25,363.25,307.64,605.05,Yes,Netherlands,NPB,2018-09-22,Netherlands,GE,SBD Cup
Marzia Girardi,F,SBD,Raw,51.5,50-54,Open,50.07,52,80.0,-90.0,95.0,,95.0,55.0,-57.5,-60.0,,55.0,130.0,135.0,140.0,,140.0,290.0,6,372.15,426.86,330.43,558.6,Yes,Italy,EPF,2015-03-21,Czechia,,1st European Women's Classic Championships
Anna Rinse,F,SBD,Raw,,,Open,70.1,72,,,,,102.5,,,,,70.0,,,,,130.0,302.5,6,300.64,300.64,265.01,497.8,Yes,Sweden,SSF,2011-08-20,Sweden,,SM Klassisk SL
Olga Ermakova,F,SBD,Raw,21.5,20-23,Open,51.9,52,90.0,97.5,-105.5,,97.5,42.5,47.5,50.0,,50.0,90.0,95.0,102.5,,102.5,250.0,3,312.12,315.24,276.69,467.28,Yes,,FPR,2015-05-30,Russia,,Novosibirsk Classic Powerlifting & Bench Press Championship
Ines Urbaneck,F,SBD,Raw,34.0,24-34,Open,56.5,57,95.0,100.0,-105.0,,100.0,50.0,52.5,,,52.5,110.0,-115.0,-115.0,,110.0,262.5,4,306.71,306.71,271.25,472.68,Yes,,BVDK,2017-10-12,Germany,,DM KDK Classic
Travette Pram,F,SBD,Raw,42.5,40-44,Masters 1,128.3,84+,-95.0,95.0,100.0,,100.0,45.0,50.0,-52.5,,50.0,120.0,127.5,132.5,,132.5,282.5,1,223.24,227.7,188.51,379.94,Yes,,NZPF,2019-04-06,New Zealand,AKL,Auckland Powerlifting Championships
糸井千都香,F,SBD,Raw,45.5,45-49,Masters 1,51.2,52,80.0,90.0,-92.5,,90.0,50.0,-52.5,52.5,,52.5,90.0,100.0,105.0,,105.0,247.5,1,312.25,329.42,276.95,465.34,Yes,,JPA,2018-11-23,Japan,,Japanese Masters Classic Powerlifting Championships
Lisa Courtney,F,SBD,Raw,53.0,50-54,Masters 50-54,60.0,60,,,,,92.5,,,,,55.0,,,,,100.0,247.5,1,275.93,326.71,243.8,432.42,,,USPA,2018-04-14,USA,OH,21st Annual Battle of the Great Lakes
Megan Humphries,F,SBD,Raw,21.0,20-23,Juniors 20-23,64.3,67.5,,,,,92.5,,,,,65.0,,,,,135.0,292.5,1,309.34,315.53,273.09,499.1,,,USPA,2016-05-21,USA,FL,Ocala Power Bash
Jen Braun,F,SBD,Raw,,,Amateur Open,58.06,60,,,,,79.38,,,,,38.56,,,,,102.06,219.99,3,251.62,251.62,222.42,387.16,Yes,,RPS,2015-10-17,USA,MA,19th Annual Power Challenge Boston
Sandra Wilen,F,SBD,Raw,,,Open,75.8,84,,,,,150.0,,,,,65.0,,,,,170.5,385.5,1,364.07,364.07,320.12,614.86,Yes,,SSF,2015-11-14,Sweden,,DM i styrkelyft - klassisk Västra Svealands SDF
Jordan Moorhead,F,SBD,Raw,,,Juniors,69.7,72,,,,,102.5,,,,,55.0,,,,,102.5,260.0,3,259.43,259.43,228.71,427.8,Yes,,CPU,2017-09-16,Canada,BC,BC Fall Classic
ShaNiya Latson,F,SBD,Raw,14.5,13-15,FR-O,103.0,84+,60.0,70.0,82.5,,82.5,42.5,50.0,-55.0,,50.0,-97.5,97.5,120.0,,120.0,252.5,5,208.51,246.04,178.44,364.07,Yes,,USAPL,2017-11-18,USA,LA,Abbeville Open and Collegiate Championships
Abigail Cannon,F,SBD,Raw,21.5,20-23,FR-Jr,62.0,63,115.0,-117.5,,,115.0,55.0,60.0,62.5,,62.5,135.0,142.5,-145.0,,142.5,320.0,1,347.87,351.35,307.24,556.68,Yes,,USAPL,2018-03-10,USA,ID,Idaho State Championships
Lori Sharon,F,SBD,Raw,31.5,24-34,FR-O,69.6,72,102.5,110.0,115.0,,115.0,70.0,77.5,-80.0,,77.5,157.5,170.0,-177.5,,170.0,362.5,3,362.06,362.06,319.2,599.88,Yes,,USAPL,2015-12-05,USA,WA,Team Phoinix Holliday Classic
Katie Ruehle,F,SBD,Raw,33.0,24-34,Open,82.05,82.5,,,,,130.0,,,,,75.0,,,,,135.0,340.0,1,306.87,306.87,268.71,525.23,Yes,USA,AAU,2018-09-28,USA,NV,World Championships
Kelli Hudson,F,SBD,Raw,39.0,35-39,Open,70.6,75,,,,,132.5,,,,,70.0,,,,,140.0,342.5,1,338.75,338.75,298.54,562.84,,,USPA,2017-10-28,USA,TX,Unleash The Beast
Raiya Thomure,F,SBD,Raw,18.0,18-19,FR-T3,69.1,72,100.0,-105.0,105.0,,105.0,50.0,-55.0,-55.0,,50.0,132.5,137.5,-142.5,,137.5,292.5,1,293.62,311.24,258.9,483.97,Yes,,USAPL,2018-07-14,USA,MO,Midwest & Central Super Regionals
Betty Gray,F,SBD,Raw,52.5,50-54,F-C-M2,97.6,84+,82.5,87.5,-92.5,,87.5,45.0,52.5,55.0,,55.0,150.0,160.0,162.5,,162.5,305.0,1,255.83,298.04,220.44,443.58,Yes,UK,EPA,2015-05-03,England,,South East Classic
Rachael Greathead,F,SBD,Raw,,,F-C-Open,80.05,84,130.0,137.5,140.0,,140.0,-72.5,72.5,-80.0,,72.5,135.0,142.5,150.0,,150.0,362.5,2,331.58,331.58,290.78,565.25,Yes,,EPA,2019-01-26,England,,YNE Winter Open
Theresa Claire England,F,SBD,Raw,33.5,24-34,FR-O,62.1,63,75.0,77.5,82.5,,82.5,-42.5,45.0,-47.5,,45.0,112.5,117.5,120.0,,120.0,247.5,2,268.73,268.73,237.33,426.13,Yes,,USAPL,2018-12-01,USA,FL,Greater Tampa Open Championships
Ana Sternfeld Buraya,F,SBD,Raw,49.5,45-49,M2,46.06,47,80.0,85.0,90.5,,90.5,42.5,45.0,47.5,,47.5,103.0,105.0,105.5,,105.5,243.5,1,332.24,369.79,296.66,482.9,Yes,,AEP,2018-10-05,Spain,,Campeonato de España de Powerlifting SBJ-JUN-Masters
Rachel Busch,F,SBD,Raw,,20-23,Amateur Juniors 20-23,58.06,60,,,,,97.52,,,,,63.5,,,,,122.47,283.5,1,324.26,324.26,286.64,506.11,Yes,,RPS,2016-10-08,USA,MA,20th Annual Power Challenge
Aleah Wood,F,SBD,Raw,29.0,24-34,Open,81.1,82.5,,,,,115.0,,,,,65.0,,,,,160.0,340.0,2,308.78,308.78,270.58,527.63,,,USPA,2018-09-08,USA,CA,Self-Made Open Powerlifting Championship
Mary Fleckenstein,F,SBD,Raw,19.5,20-23,FR-Jr,66.7,72,110.0,117.5,122.5,,122.5,60.0,67.5,-70.0,,67.5,112.5,122.5,132.5,,132.5,322.5,1,331.99,341.95,292.92,542.8,Yes,,USAPL,2016-05-14,USA,NY,Westchester Championships
Kitchelle Sun,F,SBD,Raw,29.0,24-34,Open,80.06,82.5,,,,,125.0,,,,,75.0,,,,,172.5,372.5,2,340.7,340.7,298.77,580.72,,,USPA,2015-06-13,USA,HI,Hawaii Fit Expo Raw Powerlifting
Sylvia Kosiorek,F,SBD,Raw,21.5,20-23,FR-Jr,70.3,72,85.0,90.0,92.5,,92.5,42.5,45.0,-47.5,,45.0,80.0,85.0,90.0,,90.0,227.5,1,225.66,227.92,198.9,372.2,Yes,,USAPL,2017-01-21,USA,FL,Boynton Barbell Center Powerlifting Championship
Marissa Ramos,F,SBD,Raw,20.0,20-23,Juniors 20-23,83.2,90,,,,,97.5,,,,,52.5,,,,,107.5,257.5,1,230.73,237.66,201.85,397.04,Yes,,USPA,2018-02-09,USA,CA,Drug Tested California State Championships
Karoline Alvarez,F,SBD,Raw,41.0,40-44,Masters 40-44,70.2,75,,,,,110.0,,,,,65.0,,,,,135.0,310.0,1,307.8,310.87,271.3,510.01,,,USPA,2017-06-24,USA,FL,The Jenn
Danielle Rideout,F,SBD,Raw,,,Open,70.0,72,,,,,75.0,,,,,55.0,,,,,127.5,257.5,4,256.17,256.17,225.81,422.9,Yes,,CPU,2013-11-30,Canada,NL,Newfoundland Open
Lisa Ju,F,SBD,Raw,44.0,40-44,Masters 1,90.2,84+,130.0,135.0,140.0,,140.0,65.0,67.5,70.0,,70.0,140.0,150.0,155.0,,155.0,365.0,1,315.09,328.64,273.83,543.19,Yes,,NZPF,2015-03-07,New Zealand,GIS,Gisborne Novice 3-Lift Competition
Charlotte Bratten Lund,F,SBD,Raw,,,Juniors 19-23,81.7,84,-30.0,35.0,45.0,,45.0,30.0,-42.5,42.5,,42.5,60.0,80.0,95.0,,95.0,182.5,2,165.09,165.09,144.6,284.48,Yes,,NSF,2011-02-19,Norway,,RM Vest
Jameely Choecair,F,SBD,Raw,23.0,20-23,FJ-R,80.55,82.5,110.0,-115.0,120.0,,120.0,50.0,-55.0,55.0,,55.0,130.0,-137.5,141.5,,141.5,316.5,2,288.51,288.51,252.92,492.72,,Australia,CAPO,2014-08-01,Australia,QLD,Nationals
Lena McCord,F,SBD,Raw,22.5,20-23,FR-O,62.1,63,80.0,85.0,90.0,,90.0,40.0,45.0,-47.5,,45.0,87.5,92.5,97.5,,97.5,232.5,7,252.44,252.44,222.95,399.21,Yes,,USAPL,2018-06-02,USA,NC,NC State Championships
Lea Becker,F,SBD,Raw,26.0,24-34,Open,71.3,75,,,,,140.0,,,,,85.0,,,,,172.5,397.5,2,390.52,390.52,344.08,651.37,,,USPA,2017-11-19,USA,FL,Thanksgiving Throwdown
Lottie Hall,F,SBD,Raw,,,F-C-Open,70.05,72,100.0,110.0,-115.0,,110.0,47.5,-55.0,-55.0,,47.5,120.0,-127.5,127.5,,127.5,285.0,9,283.39,283.39,249.8,468.72,Yes,,EPA,2016-08-06,England,,All England Powerlifting Championships
Svetlana Koroleva,F,SBD,Raw,21.5,20-23,Juniors,42.68,43,95.0,100.0,-105.0,,100.0,52.5,57.5,62.5,,62.5,107.5,112.5,117.5,,117.5,280.0,1,402.18,406.2,362.06,589.5,Yes,Russia,IPF,2015-06-05,Finland,,World Classic Powerlifting Championships
Krystal Cary,F,SBD,Raw,32.0,24-34,F_OR_APF,80.83,82.5,127.5,137.5,147.5,,147.5,87.5,92.5,-97.5,,92.5,167.5,172.5,177.5,,177.5,417.5,1,379.85,379.85,332.92,647.89,,USA,APF,2017-03-25,USA,IA,Armed Forces Show and Iowa and Nebraska State Championships
Georgia Boonshoft,F,SBD,Raw,25.5,24-34,FR-O,80.2,84,80.0,85.0,92.5,,92.5,50.0,55.0,-57.5,,55.0,105.0,115.0,125.0,,125.0,272.5,20,248.99,248.99,218.33,425.38,Yes,,USAPL,2017-06-24,USA,KY,Kentucky State Raw Champs
Cyndney Bushue,F,SBD,Raw,21.0,20-23,Juniors 20-23,66.3,67.5,,,,,110.0,,,,,65.0,,,,,155.0,330.0,1,341.2,348.03,301.08,557.19,,,USPA,2018-03-24,USA,MO,4th Annual POWERBODY Open
Amanda Galindo,F,SBD,Raw,18.5,18-19,FR-O,62.7,63,90.0,97.5,-105.0,,97.5,35.0,40.0,-45.0,,40.0,92.5,102.5,110.0,,110.0,247.5,3,266.77,277.44,235.57,424.42,Yes,,USAPL,2017-11-12,USA,MA,Raw Collegiate Cup
Michelle Mullenix,F,SBD,Raw,21.0,20-23,Juniors 20-23,66.8,67.5,,,,,145.0,,,,,77.5,,,,,167.5,390.0,1,401.04,409.06,353.84,658.36,,,IPL,2015-11-12,USA,NV,World Powerlifting Championships
Bailee Stevens,F,SBD,Raw,,,Varsity,114.35,99.7+,106.59,117.93,127.01,,127.01,47.63,54.43,-58.97,,54.43,120.2,129.27,136.08,,136.08,317.51,7,256.16,256.16,217.64,438.08,,,MHSPLA,2017-03-01,USA,MI,State Championships
Sheryl Miller,F,SBD,Raw,42.5,40-44,FR-O,94.8,84+,105.0,110.0,115.0,,115.0,57.5,-62.5,-62.5,,57.5,127.5,132.5,137.5,,137.5,310.0,1,262.58,267.83,227.01,455.07,Yes,,USAPL,2018-03-03,USA,CT,Connecticut Spring Classic
Kaylie Perez,F,SBD,Raw,16.5,16-17,FR-T2,100.1,84+,120.0,130.0,135.0,,135.0,55.0,57.5,62.5,,62.5,125.0,135.0,145.0,,145.0,342.5,1,285.08,307.88,244.87,491.82,Yes,USA,USAPL,2016-09-17,USA,TX,8th Annual Iron Wars
Jean-Marie Beauchemin,F,SBD,Raw,,,Amateur Open,59.6,60,,,,,104.33,,,,,56.7,,,,,137.21,298.24,2,334.23,334.23,295.34,527.12,Yes,,RPS,2018-04-07,USA,NH,NH & VT State Championships
Amanda Burke,F,SBD,Raw,34.0,24-34,Open,80.9,82.5,,,,,142.5,,,,,80.0,,,,,150.0,372.5,1,338.75,338.75,296.88,578.26,,,USPA,2016-03-19,USA,VA,2nd Annual Virginia Open
Hailey Kostynuik,F,SBD,Raw,22.5,20-23,Juniors,120.7,84+,,,,,172.5,,,,,97.5,,,,,185.0,455.0,1,363.47,363.47,307.88,605.75,Yes,Canada,CPU,2015-02-21,Canada,MB,MPA Provincial Championship
Rosario Espinoza,F,SBD,Raw,31.0,24-34,Open,56.0,56,,,,,115.0,,,,,70.0,,,,,140.0,325.0,2,382.4,382.4,338.25,594.51,,,IPL,2016-11-10,USA,NV,World Powerlifting Championships
Breanna Santos,F,SBD,Raw,16.5,16-17,FR-T2,58.9,63,87.5,95.0,-110.0,,95.0,40.0,47.5,-52.5,,47.5,97.5,-102.5,112.5,,112.5,255.0,4,288.41,311.49,254.89,449.83,Yes,,USAPL,2015-10-15,USA,,Raw Nationals
Lindsay Hill,F,SBD,Raw,30.0,24-34,Open,70.7,75,,,,,65.0,,,,,52.5,,,,,100.0,217.5,2,214.91,214.91,189.39,354.82,,,USPA,2015-05-02,USA,WV,West Virginia State Powerlifting Meet
