Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
Jake Benedix,M,SBD,Raw,16.0,16-17,M-LW,60.0,60,125.0,-140.0,140.0,,140.0,80.0,87.5,-90.0,,87.5,137.5,150.0,157.5,,157.5,385.0,3,328.36,371.04,319.94,458.75,,USA,RUPC,2011-01-22,USA,FL,Raw Unity IV
Nour-Eddine Ghaoui,M,SBD,Raw,36.0,35-39,Open,130.23,120+,-292.5,-292.5,-292.5,,,170.0,180.0,-185.0,,180.0,270.0,-300.0,-300.0,,270.0,,DQ,,,,,Yes,France,EPF,2016-09-08,Italy,,Western European Powerlifting Championships
Dylan Wambold,M,SBD,Raw,16.5,16-17,MR-T2,86.5,93,142.5,165.0,-182.5,,165.0,92.5,100.0,112.5,,112.5,185.0,190.0,205.0,,205.0,482.5,1,314.56,339.72,303.39,449.76,Yes,,USAPL,2017-05-27,USA,PA,Philadelphia Freedom Championship
Sebastián Banzas Baró,M,SBD,Raw,30.5,24-34,SNR,58.3,59,125.0,-135.0,-135.0,,125.0,80.0,-85.0,-85.0,,80.0,155.0,170.0,-180.0,,170.0,375.0,1,328.46,328.46,320.49,456.29,Yes,,AEP,2019-02-09,Spain,,IV Campeonato de Madrid Powerlifting y Press Banca
Juan Lovera Rivas,M,SBD,Raw,,,Open,104.0,105,180.0,-190.0,-190.0,,180.0,150.0,160.0,-165.0,,160.0,250.0,265.0,275.0,,275.0,615.0,4,368.75,368.75,353.95,529.89,Yes,,NPB,2019-02-02,Netherlands,GR,North Side Barbell Cup
Freeman Levinrad,M,SBD,Raw,32.0,24-34,Open,99.5,100,,,,,207.5,,,,,142.5,,,,,205.0,555.0,6,338.45,338.45,325.32,483.27,,USA,USPA,2019-03-16,USA,CA,Pacific Coast Open
Markku Kemppainen,M,SBD,Raw,65.5,65-69,Masters 3,64.34,66,105.0,107.5,110.0,,110.0,105.0,-107.5,110.0,,110.0,145.0,155.0,157.5,,157.5,377.5,4,302.78,448.11,294.16,421.63,Yes,Finland,IPF,2015-06-05,Finland,,World Classic Powerlifting Championships
Robert Kun,M,SBD,Raw,30.5,24-34,Open,119.99,120,320.0,-325.0,,,320.0,190.0,-197.5,197.5,,197.5,260.0,-270.0,-270.0,,260.0,777.5,2,447.01,447.01,426.61,637.42,Yes,Nauru,OceaniaPF,2015-10-09,Papua New Guinea,,Pacific Games
Robert Su,M,SBD,Raw,,,Open,100.2,105,,,,,200.0,,,,,125.0,,,,,260.0,585.0,6,355.74,355.74,341.87,511.7,Yes,,CPU,2015-06-06,Canada,ON,Toronto Supershow
Aaron Gauntt,M,SBD,Raw,27.5,24-34,MR-O,93.0,93,227.5,-235.0,-235.0,,227.5,145.0,150.0,155.0,,155.0,247.5,262.5,-272.5,,262.5,645.0,2,405.18,405.18,390.17,600.55,Yes,,USAPL,2017-07-15,USA,TX,Summer Power Fest
Kyle Schuster,M,SBD,Raw,22.0,20-23,MR-Jr,112.0,120,257.5,267.5,280.0,,280.0,167.5,180.0,185.0,,185.0,245.0,265.0,272.5,,272.5,737.5,1,431.69,436.01,413.23,624.39,Yes,,USAPL,2016-01-23,USA,NY,Northeast Iron Beast Winter Classic III
Matt Goldsmith,M,SBD,Raw,,,Open,86.0,93,,,,,157.5,,,,,125.0,,,,,190.0,472.5,4,309.03,309.03,298.09,440.48,Yes,,CPU,2017-10-29,Canada,ON,Hamilton Open
Atle Aamelfot,M,SBD,Raw,,,Masters 50-59,80.9,83,110.0,120.0,130.0,,130.0,70.0,80.0,-85.0,,80.0,160.0,180.0,-200.0,,180.0,390.0,3,264.4,264.4,255.35,365.0,Yes,,NSF,2012-11-16,Norway,,NM ungdom junior og veteran
Connor Mckenney,M,SBD,Raw,20.5,20-23,MR-Jr,81.8,83,132.5,140.0,147.5,,147.5,90.0,97.5,-102.5,,97.5,180.0,192.5,-197.5,,192.5,437.5,2,294.59,300.49,284.45,416.38,Yes,,USAPL,2018-12-08,USA,OH,Krampus Classic
